"output_freq","GPS_reference","N31","N2_HS","N2_LS","N1_HS","NC1_LS","BW"
1013,168158,1,11,3514,11,583324,9
1014,194250,1,11,3042,11,582750,9
1015,186760,1,11,3164,11,582176,9
1016,166172,1,11,3556,11,581602,9
1017,174309,1,11,3390,11,581030,9
1018,58046,1,10,11198,11,580460,9
1019,104957,1,11,5630,11,579890,9
1020,184890,1,11,3196,11,579322,9
1021,113331,1,11,5214,11,578754,9
1022,155666,1,11,3796,11,578188,9
1023,147653,1,11,4002,11,577622,9
1024,192352,1,11,3072,11,577056,9
1025,180155,1,11,3280,11,576496,9
1026,191978,1,11,3078,11,575934,9
1027,143843,1,11,4108,11,575372,9
1028,171676,1,11,3442,11,574814,9
1029,188307,1,11,3138,11,574254,9
1030,81370,1,11,7262,11,573698,9
1031,143285,1,11,4124,11,573140,9
1032,190862,1,11,3096,11,572586,9
1033,169412,1,11,3488,11,572032,9
1034,168542,1,11,3506,11,571478,9
1035,158590,1,11,3726,11,570924,9
1036,162964,1,11,3626,11,570374,9
1037,142456,1,11,4148,11,569824,9
1038,142319,1,11,4152,11,569276,9
1039,142182,1,11,4156,11,568728,9
1040,142045,1,11,4160,11,568180,9
1041,141909,1,11,4164,11,567636,9
1042,189030,1,11,3126,11,567090,9
1043,184313,1,11,3206,11,566546,9
1044,188668,1,11,3132,11,566004,9
1045,174515,1,11,3386,11,565462,9
1046,151670,1,11,3896,11,564920,9
1047,154607,1,11,3822,11,564382,9
1048,187948,1,11,3144,11,563844,9
1049,154203,1,11,3832,11,563304,9
1050,194250,1,11,3042,11,562770,9
1051,140558,1,11,4204,11,562232,9
1052,180155,1,11,3280,11,561700,9
1053,142938,1,11,4134,11,561164,9
1054,186878,1,11,3162,11,560634,9
1055,64355,1,11,9182,11,560102,9
1056,197496,1,11,2992,11,559572,9
1057,177877,1,11,3322,11,559042,9
1058,121187,1,11,4876,11,558514,9
1059,151437,1,11,3902,11,557986,9
1060,185820,1,11,3180,11,557460,9
1061,51989,1,11,11366,11,556934,9
1062,193107,1,11,3060,11,556410,9
1063,157324,1,11,3756,11,555888,9
1064,138841,1,11,4256,11,555364,9
1065,138711,1,11,4260,11,554844,9
1066,184774,1,11,3198,11,554322,9
1067,138451,1,11,4268,11,553804,9
1068,184428,1,11,3204,11,553284,9
1069,92128,1,11,6414,11,552768,9
1070,133750,1,11,4418,11,552250,9
